,drg_definition,provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zip_code,hospital_referral_region_hrr_description,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments,average_consumer_payments,State,govenors_party_in_2017,state_party,total_covered_charges,total_payments,total_medicare_payments,total_consumer_payments,per capita average covered charges,per capita average total payments,per capita average medicare payments,per capita average consumer payments,per capita average covered - per capita average total payments
104,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,14,69490.43,17680.14,16558.14,1122.0,Alabama,R,AL- R,972866.0199999999,247521.96,231813.96,15708.0,69490.43,17680.14,16558.14,1122.0,51810.28999999999
420,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,11,60533.18,18355.18,17702.45,652.7299999999996,Alabama,R,AL- R,665864.98,201906.98,194726.95,7180.029999999995,60533.18,18355.18,17702.45,652.7299999999996,42178.0
899,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,25,42005.52,18256.96,16191.24,2065.7199999999993,Alabama,R,AL- R,1050138.0,456424.0,404781.0,51642.999999999985,42005.52,18256.96,16191.24,2065.7199999999993,23748.56
1097,466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,22,135815.18,35225.59,27716.64,7508.949999999997,Alabama,R,AL- R,2987933.96,774962.98,609766.08,165196.89999999994,135815.18,35225.59,27716.64,7508.949999999997,100589.59
1098,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,114,74314.4,24603.06,18587.92,6015.140000000003,Alabama,R,AL- R,8471841.6,2804748.8400000003,2119022.88,685725.9600000003,74314.4,24603.06,18587.92,6015.140000000003,49711.34
1517,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,69,152789.09,21621.84,16985.62,4636.220000000001,Alabama,R,AL- R,10542447.209999999,1491906.96,1172007.78,319899.18000000005,152789.09,21621.84,16985.62,4636.220000000001,131167.25
1518,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,57,106173.35,18357.98,12931.61,5426.369999999999,Alabama,R,AL- R,6051880.95,1046404.86,737101.77,309303.08999999997,106173.35,18357.98,12931.61,5426.369999999999,87815.37
1659,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,12,171310.17,18032.08,17047.42,984.6600000000035,Alabama,R,AL- R,2055722.04,216384.96000000002,204569.03999999998,11815.920000000042,171310.17,18032.08,17047.42,984.6600000000035,153278.09
1660,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,16,119443.56,14951.25,13883.75,1067.5,Alabama,R,AL- R,1911096.96,239220.0,222140.0,17080.0,119443.56,14951.25,13883.75,1067.5,104492.31
1893,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,11,81555.18,14590.0,12104.64,2485.3600000000006,Alabama,R,AL- R,897106.98,160490.0,133151.03999999998,27338.960000000006,81555.18,14590.0,12104.639999999998,2485.3600000000006,66965.18
