"Location","Total"
"United States","165480"
"Alabama","2537"
"Alaska","480"
"Arizona","3403"
"Arkansas","1305"
"California","15414"
"Colorado","2895"
"Connecticut","3230"
"Delaware","522"
"District of Columbia","359"
"Florida","12360"
"Georgia","4815"
"Hawaii","412"
"Idaho","688"
"Illinois","4963"
"Indiana","3453"
"Iowa","1922"
"Kansas","1642"
"Kentucky","2934"
"Louisiana","2364"
"Maine","1100"
"Maryland","3343"
"Massachusetts","6264"
"Michigan","4420"
"Minnesota","2880"
"Mississippi","2086"
"Missouri","3417"
"Montana","504"
"Nebraska","1045"
"Nevada","841"
"New Hampshire","1014"
"New Jersey","5517"
"New Mexico","1022"
"New York","12611"
"North Carolina","4717"
"North Dakota","457"
"Ohio","6039"
"Oklahoma","1131"
"Oregon","2101"
"Pennsylvania","7003"
"Rhode Island","653"
"South Carolina","2121"
"South Dakota","473"
"Tennessee","5748"
"Texas","9900"
"Utah","1207"
"Vermont","384"
"Virginia","4478"
"Washington","3037"
"West Virginia","942"
"Wisconsin","3041"
"Wyoming","286"

"Notes"
"Data includes currently professionally active nurse practitioners (NPs)."

"Sources"
"Special data request for information on active state licensed nurse practitioners from [Redi-Data, Inc](http://www.redidata.com/). March 2019."


